name,logo,address,english,german,farsi,contact_label,contact_url
Haus des Buches Wien,images/khane_ketab.png,Vienna,,,,Instagram,https://www.instagram.com/khan.ehe.ketab?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==
KDR,images/KDR.png,Vienna,,,,Instagram,https://www.instagram.com/kdr.austria?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==
700 Sit-in Strike,images/Strike.jpeg,Vienna,,,,Instagram,https://www.instagram.com/iranrevolution2022vienna?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==
WILPF,images/WILP.png,Vienna,,,,Website,https://wilpf.at/
forumiranischerfrauen,images/FiF.png,Vienna,,,,Instagram,https://www.instagram.com/forumiranischerfrauen/
Javaneh Verein,images/Javaneh.png,Vienna,,,,Instagram,https://www.instagram.com/javaneh.verein/
Rosa Oesterreich,images/rosa.png,Vienna,,,,Instagram,https://www.instagram.com/rosa_oesterreich/
Bündnis Frau Leben Freiheit,images/Bundis.jpg,Vienna,,,,Instagram,https://www.instagram.com/buendnis.fraulebenfreiheit/
